City Id,State,State Abbreviation,Municipality,Link
344,Michigan,MI,Ann Arbor,https://www.hrc.org/resources/municipalities/ann-arbor-mi
345,Michigan,MI,Detroit,https://www.hrc.org/resources/municipalities/detroit-mi
346,Michigan,MI,East Lansing,https://www.hrc.org/resources/municipalities/east-lansing-mi
347,Michigan,MI,Ferndale,https://www.hrc.org/resources/municipalities/ferndale-mi
348,Michigan,MI,Grand Rapids,https://www.hrc.org/resources/municipalities/grand-rapids-mi
349,Michigan,MI,Kalamazoo,https://www.hrc.org/resources/municipalities/kalamazoo-mi
350,Michigan,MI,Lansing,https://www.hrc.org/resources/municipalities/lansing-mi
351,Michigan,MI,Pleasant Ridge,https://www.hrc.org/resources/municipalities/pleasant-ridge-mi
352,Michigan,MI,Sterling Heights,https://www.hrc.org/resources/municipalities/sterling-heights-mi
353,Michigan,MI,Traverse City,https://www.hrc.org/resources/municipalities/traverse-city-mi
354,Michigan,MI,Warren,https://www.hrc.org/resources/municipalities/warren-mi
355,Minnesota,MN,Bloomington,https://www.hrc.org/resources/municipalities/bloomington-mn
356,Minnesota,MN,Duluth,https://www.hrc.org/resources/municipalities/duluth-mn
357,Minnesota,MN,Eden Prairie,https://www.hrc.org/resources/municipalities/eden-prairie-mn
358,Minnesota,MN,Minneapolis,https://www.hrc.org/resources/municipalities/minneapolis-mn
359,Minnesota,MN,Minnetonka,https://www.hrc.org/resources/municipalities/minnetonka-mn
360,Minnesota,MN,Rochester,https://www.hrc.org/resources/municipalities/rochester-mn
361,Minnesota,MN,Saint Cloud,https://www.hrc.org/resources/municipalities/saint-cloud-mn
362,Minnesota,MN,Saint Paul,https://www.hrc.org/resources/municipalities/saint-paul-mn
363,Mississippi,MS,Bay St. Louis,https://www.hrc.org/resources/municipalities/bay-st.-louis-ms
364,Mississippi,MS,Biloxi,https://www.hrc.org/resources/municipalities/biloxi-ms
365,Mississippi,MS,Gulfport,https://www.hrc.org/resources/municipalities/gulfport-ms
