Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
7523,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,26,Municipality as Employer,Non-Discrimination in City Employment,City,Gender Identity,7
7524,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,27,Municipality as Employer,Transgender-Inclusive Healthcare Benefits,City,NA,0
7525,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,28,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Sexual Orientation,0
7526,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,29,Municipality as Employer,City Contractor Non-Discrimination Ordinance,City,Gender Identity,0
7527,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,30,Municipality as Employer,Inclusive Workplace,City,NA,0
7528,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,31,Municipality as Employer,City Employee Domestic Partner Benefits,City,NA,1
7529,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,32,Municipal Services,Human Rights Commission,County,NA,0
7530,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,33,Municipal Services,Human Rights Commission,City,NA,5
7531,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,34,Municipal Services,Enforcement Mechanism in Human Rights Commission,County,NA,0
7532,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,35,Municipal Services,Enforcement Mechanism in Human Rights Commission,City,NA,0
7533,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,36,Municipal Services,LGBTQ+ Liaison in City Executive's Office,City,NA,0
7534,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,37,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Sexual Orientation,0
7535,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,38,Municipal Services,Youth Bullying Prevention Policy for City Services,City,Gender Identity,0
7536,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,39,Municipal Services,City provides services to/supports LGBTQ+ youth,City,NA,0
7537,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,40,Municipal Services,City provides services to/supports LGBTQ+ people experiencing homelessness,City,NA,0
7538,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,41,Municipal Services,City provides services to/supports LGBTQ+ older adults,City,NA,0
7539,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,42,Municipal Services,City provides services to/supports people living with HIV or AIDS,City,NA,0
7540,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,43,Municipal Services,City provides services to/supports the transgender community,City,NA,0
7541,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,44,Law Enforcement,LGBTQ+ Police Liaison or Task Force,City,NA,0
7542,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,45,Law Enforcement,Reported 2019 Hate Crimes Statistics to the FBI,City,NA,12
7543,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,46,Leadership on LGBTQ+ Equality,Leadership's Public Position on LGBTQ+ Equality,City,NA,3
7544,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,47,Leadership on LGBTQ+ Equality,Leadership's Pro-Equality Legislative or Policy Efforts,City,NA,0
7545,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,48,Leadership on LGBTQ+ Equality,Openly LGBTQ+ elected or appointed municipal leaders,City,NA,0
7546,154,Moscow,ID,https://www.hrc.org/resources/municipalities/moscow-id,49,Leadership on LGBTQ+ Equality,City test limits of restrictive state law,City,NA,0
7547,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,0
7548,155,Nampa,ID,https://www.hrc.org/resources/municipalities/nampa-id,2,Non-Discrimination Laws,Employment,State,Gender Identity,0
