Row Id,City Id,City,State,URL,Score Id,Category,Criterion,Level of government,Orientation/Identity,Score
1,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,1,Non-Discrimination Laws,Employment,State,Sexual Orientation,0
2,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,2,Non-Discrimination Laws,Employment,State,Gender Identity,0
3,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,3,Non-Discrimination Laws,Employment,County,Sexual Orientation,0
4,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,4,Non-Discrimination Laws,Employment,County,Gender Identity,0
5,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,5,Non-Discrimination Laws,Employment,City,Sexual Orientation,0
6,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,6,Non-Discrimination Laws,Employment,City,Gender Identity,0
7,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,7,Non-Discrimination Laws,Housing,State,Sexual Orientation,0
8,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,8,Non-Discrimination Laws,Housing,State,Gender Identity,0
9,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,9,Non-Discrimination Laws,Housing,County,Sexual Orientation,0
10,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,10,Non-Discrimination Laws,Housing,County,Gender Identity,0
11,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,11,Non-Discrimination Laws,Housing,City,Sexual Orientation,0
12,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,12,Non-Discrimination Laws,Housing,City,Gender Identity,0
13,1,Auburn,AL,https://www.hrc.org/resources/municipalities/auburn-al,13,Non-Discrimination Laws,Public Accommodations,State,Sexual Orientation,0
