City Id,City,State,Non-Discrimination Laws,Municipality as Employer,Municipal Services,Law Enforcement,Leadership on LGBTQ+ Equality,Flex Points,Total Score
371,Starkville,MS,0,14,5,12,1,0,32
372,Cape Girardeau,MO,0,0,0,12,0,0,12
373,Columbia,MO,29,23,12,22,8,6,100
374,Independence,MO,0,0,5,12,0,0,17
375,Jefferson City,MO,0,17,10,22,0,2,51
376,Kansas City,MO,26,23,12,22,8,9,100
377,Springfield,MO,0,17,10,22,8,4,61
378,St. Charles,MO,20,14,10,22,6,0,72
379,St. Louis,MO,30,21,12,22,8,7,100
380,Allentown,PA,30,28,12,10,8,12,100
381,Carlisle,PA,30,25,12,22,8,3,100
382,Erie,PA,30,26,12,22,8,2,100
383,Harrisburg,PA,30,26,10,22,8,4,100
384,New Hope,PA,30,15,12,22,8,13,100
385,Philadelphia,PA,30,26,12,22,8,2,100
386,Pittsburgh,PA,30,28,12,12,8,10,100
387,Reading,PA,30,20,12,22,5,11,100
388,State College,PA,30,28,12,22,8,0,100
389,Wilkes-Barre,PA,30,14,12,12,8,24,100
390,Cranston,RI,28,20,0,12,1,4,65
391,East Providence,RI,28,20,5,12,2,6,73
392,Kingston (South Kingstown),RI,28,14,0,12,0,4,58
393,Narragansett,RI,28,20,0,0,0,4,52
394,Newport,RI,28,16,0,22,6,7,79
395,Pawtucket,RI,28,14,0,12,6,4,64
396,Providence,RI,30,28,12,22,8,0,100
397,Warwick,RI,28,14,0,22,4,4,72
398,Charleston,SC,20,14,5,22,8,2,71
399,Clemson,SC,0,22,5,10,7,1,45
400,Columbia,SC,30,20,10,22,8,2,92
401,Greenville,SC,0,20,10,22,6,6,64
402,Mount Pleasant,SC,20,14,0,12,0,0,46
403,Myrtle Beach,SC,30,20,10,22,8,9,99
404,North Charleston,SC,10,7,5,22,4,2,50
405,Rock Hill,SC,0,0,10,12,0,0,22
406,Aberdeen,SD,0,0,0,12,0,0,12
407,Brookings,SD,30,26,12,22,8,2,100
408,Mitchell,SD,0,0,0,12,0,0,12
409,Pierre,SD,0,0,0,0,0,0,0
410,Rapid City,SD,0,0,7,12,0,2,21
411,Sioux Falls,SD,0,15,12,22,6,2,57
412,Spearfish,SD,0,14,0,12,0,0,26
413,Vermillion,SD,25,14,12,22,7,2,82
414,Watertown,SD,0,14,0,12,1,0,27
415,Chattanooga,TN,6,20,10,12,8,0,56
416,Clarksville,TN,10,14,5,12,4,0,45
417,Franklin,TN,0,7,0,12,0,0,19
418,Johnson City,TN,0,0,0,12,0,0,12
419,Knoxville,TN,0,20,5,22,6,1,54
420,Memphis,TN,6,22,10,22,5,11,76
421,Murfreesboro,TN,0,0,0,12,0,0,12
422,Nashville,TN,0,19,12,22,8,16,77
423,Amarillo,TX,10,14,5,12,0,2,43
424,Arlington,TX,30,22,10,22,8,8,100
425,Austin,TX,30,23,12,22,8,5,100
426,Brownsville,TX,10,14,5,12,3,2,46
427,College Station,TX,10,0,0,12,0,0,22
428,Corpus Christi,TX,10,14,7,22,3,2,58
429,Dallas,TX,30,23,7,22,8,10,100
430,Denton,TX,30,23,10,22,8,7,100
431,El Paso,TX,30,20,7,12,3,7,79
432,Fort Worth,TX,30,20,12,22,7,9,100
433,Garland,TX,20,0,0,12,0,0,32
434,Grand Prairie,TX,10,16,0,12,0,2,40
435,Houston,TX,10,23,5,22,8,5,73
436,Irving,TX,10,16,5,22,6,2,61
437,Killeen,TX,10,7,0,12,0,0,29
438,Laredo,TX,10,0,0,12,0,0,22
439,Lubbock,TX,10,14,0,12,0,0,36
440,Mcallen,TX,10,7,0,12,0,0,29
441,Mckinney,TX,10,14,0,12,0,0,36
442,Mesquite,TX,10,14,5,12,3,0,44
443,Pasadena,TX,10,0,0,12,0,4,26
444,Plano,TX,30,20,0,12,4,8,74
445,Round Rock,TX,10,0,0,12,0,0,22
446,San Antonio,TX,30,23,5,22,8,12,100
447,Waco,TX,10,16,5,22,1,2,56
448,Logan,UT,30,14,0,12,0,10,66
449,Ogden City,UT,30,14,5,12,3,12,76
450,Orem,UT,20,14,0,12,0,2,48
451,Park City,UT,30,22,5,22,8,13,100
452,Provo,UT,20,14,0,0,4,2,40
453,Salt Lake City,UT,30,26,10,22,8,4,100
454,West Jordan,UT,30,0,0,12,2,8,52
455,West Valley City,UT,30,14,0,12,0,28,84
456,Barre,VT,30,0,0,12,0,4,46
457,Brattleboro,VT,30,14,0,12,0,4,60
458,Burlington,VT,30,20,5,22,5,12,94
459,Castleton,VT,30,14,0,0,0,4,48
460,Essex,VT,30,14,0,12,0,4,60
461,Montpelier,VT,30,14,0,12,4,4,64
462,Rutland,VT,30,14,0,12,1,6,63
463,South Burlington,VT,30,14,0,12,1,4,61
464,Winooski,VT,30,14,0,12,0,6,62
465,Alexandria,VA,30,26,12,22,8,2,100
466,Arlington County,VA,30,0,7,0,0,33,70
467,Charlottesville,VA,30,20,12,22,6,10,100
468,Chesapeake,VA,30,22,5,22,2,2,83
469,Fairfax County,VA,30,0,7,0,0,2,39
470,Hampton,VA,30,25,10,22,5,8,100
471,Newport News,VA,30,14,5,12,3,2,66
472,Norfolk,VA,30,22,5,22,6,12,97
473,Richmond,VA,30,27,12,22,8,1,100
474,Roanoke,VA,30,28,8,22,5,7,100
475,Virginia Beach,VA,30,28,12,22,8,0,100
476,Bellevue,WA,30,28,12,22,5,3,100
477,Bellingham,WA,30,14,0,12,3,3,62
478,Kent,WA,30,21,5,22,2,20,100
479,Olympia,WA,30,28,10,22,8,2,100
480,Pullman,WA,30,7,5,12,0,12,66
481,Seattle,WA,30,26,12,22,8,2,100
482,Spokane,WA,30,20,5,12,1,32,100
483,Tacoma,WA,30,26,7,12,8,17,100
484,Vancouver,WA,30,16,5,12,6,10,79
485,Vashon (King County),WA,30,0,7,0,0,32,69
486,Charles Town,WV,30,7,0,0,8,0,45
487,Charleston,WV,30,16,12,22,8,4,92
488,Huntington,WV,30,20,12,22,8,8,100
489,Lewisburg,WV,30,0,5,0,8,0,43
490,Morgantown,WV,30,22,12,22,8,6,100
491,Parkersburg,WV,0,0,0,12,1,0,13
492,Wheeling,WV,30,15,7,12,8,4,76
493,Appleton,WI,30,24,5,22,7,12,100
494,Green Bay,WI,30,26,10,22,8,4,100
495,Kenosha,WI,20,14,0,12,8,2,56
496,Madison,WI,30,28,12,22,8,0,100
497,Milwaukee,WI,30,26,12,22,8,2,100
498,Oshkosh,WI,25,21,10,22,3,0,81
499,Racine,WI,30,26,12,22,8,2,100
500,Casper,WY,30,16,10,10,4,2,72
501,Cheyenne,WY,0,14,0,12,2,0,28
502,Gillette,WY,0,7,0,12,3,0,22
503,Jackson,WY,30,14,4,10,4,0,62
504,Laramie,WY,30,20,5,22,8,4,89
505,Rock Springs,WY,0,0,0,12,0,0,12
506,Sheridan,WY,0,0,0,12,0,0,12
